X,Y,Z
0.138564,0.08,0
0.034292,0.043001,0
-0.01223,0.053621,0
0,0.16,0
-0.03576,0.31929,0
-0.1107,0.369588,0
-0.18067,0.402283,0
-0.24579,0.423894,0
-0.13856,-0.08,0
-0.04955,-0.02386,0
-0.04955,0.023864,0
-0.13856,0.08,0
-0.22552,0.082085,0
-0.32064,0.020227,0
-0.38319,-0.04484,0
-0.42754,-0.10807,0
0.055,0,0
0.034292,-0.043,0
-0.01223,-0.05362,0
-0.08,-0.13856,0
-0.12,-0.20784,0
-0.0756,-0.31226,0
0.032189,-0.43981,0
0.085989,-0.48239,0
0.183851,-0.15426,0
0.294394,-0.12867,0
0.375423,-0.08892,0
0.438725,-0.04467,0
0.30823,0.090661,0
0.34475,0.173197,0
0.364798,0.247785,0
0.374773,0.315667,0
,,
12,23,7
